,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PXDC1,1.1131004684950554,0.028886410703303785,0.3589789711228696,0.19873831235845188,0.8424674528357452,0.9504728133392097
RP11-420L9.5,0.6035498914129164,-0.0013324282650904126,0.3505271011844686,-0.1879108650454514,0.8509465253877482,0.9545206344789309
FAM50B,1.7865876617961494,0.3500500711045774,0.16016331759947766,2.4849355656583687,0.012957488551795905,0.05295368812873988
RP3-406P24.4,0.005193978485374634,-0.029670173835370784,0.3038594027195138,-0.01792266303351166,0.9857005494305151,
RP3-406P24.3,0.09526550556810912,0.26794667738164935,0.5698548036632055,0.7900854102384333,0.4294778897852424,
PRPF4B,28.340298459774637,-0.13695455492953634,0.09674778041557185,-1.5266398050432393,0.12685060324137595,0.3017597833356764
FAM217A,0.0014062450428072486,-0.004853444848171376,0.34735737556394813,0.012496404761764852,0.9900295710729693,
C6orf201,0.004144054958733297,-0.011988763852817013,0.34966239772443564,0.014255256923590367,0.9886263358031986,
ECI2,7.2592379432653615,0.3640204471860199,0.10085740550634946,3.8722536426958674,0.00010783364848036328,0.000932402467649982
RP3-400B16.4,0.016619777027754558,-0.018401826871175895,0.3479163025386207,-0.00773066131776282,0.9938318861274484,
RP3-400B16.1,0.009259993631710052,-0.055419134409467795,0.3231403251218949,-0.06233150570795706,0.9502988393216724,
CDYL,4.860803902711907,-0.2301252023791756,0.22398346114015344,-1.5270866355882877,0.1267394697125708,0.3015446762229973
RPP40,1.2052228582247735,0.4499109322956166,0.18728697137795486,2.7427792354478284,0.006092162799138049,0.028656525023001672
RP11-428J1.5,0.049324160204124924,-0.023490317549215253,0.33400414965104713,-0.02102678129200115,0.9832242920143099,
PPP1R3G,0.1300655483557953,0.034241367564679534,0.40241466199632436,0.2072748947021466,0.8357951795165502,
LYRM4,8.332945325820477,-0.0944547605589032,0.12054753686156074,-0.8801372504219677,0.37878496165478126,0.6291909453177356
FARS2,7.539847401291176,-0.22828601534340634,0.10544893761690162,-2.3302482907209425,0.019793032011372717,0.07420348586961847
RP3-380B8.4,0.030563679975126434,0.0602093643971928,0.39663417863593764,0.20488746200921748,0.8376600512879385,
NRN1,0.10357317482500657,0.15272098562997902,0.4069828944755406,0.6423027846424639,0.520676606583757,
F13A1,24.000916945325525,-0.1515034381065294,0.3084744171559128,0.3883392104878853,0.6977650238877865,0.878678242050511
