ligand_complex,receptor_complex,source,target,resources,n_resources,mean_lrscore,max_lrscore,min_lrscore
C5,C5AR1,Memory B cells,Memory B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Naive B cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Plasma cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Regulatory T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Tcm/Naive cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Tcm/Naive helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Tem/Effector helper T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Tem/Temra cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,Tem/Trm cytotoxic T cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,Memory B cells,pDC,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,NK cells,CD16+ NK cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,NK cells,Classical monocytes,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,NK cells,DC2,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,NK cells,Late erythroid,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,NK cells,MAIT cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
C5,C5AR1,NK cells,Mast cells,"['cellchatdb', 'cellphonedb', 'connectomedb2020']",3,,,
